company_id,name,search_rating,review_count,overall_rating,복지/급여,워라밸,사내문화,승진 기회,경영진,기업 추천율,CEO 지지율,성장 가능성,검색기업명
35633,(주)비보존제약,2.2,141,2.2,1.9,2.5,2.4,2.3,1.8,17%,29%,6%,비보존제약
111673,창원서부쉐보레판매(주),2.7,3,2.7,3.0,3.0,3.0,3.0,3.0,33%,33%,0%,창원서부쉐보레판매
335673,(주)바이오원,2.0,4,2.0,1.3,3.0,2.3,2.5,1.8,0%,25%,0%,바이오원
330161,(주)주찬컨설팅,1.5,26,1.5,1.4,1.8,1.9,1.5,1.4,8%,15%,0%,주찬컨설팅
339206,(주)유진이엔씨,3.6,5,3.6,3.4,3.4,3.4,3.6,3.0,60%,60%,40%,유진이엔씨
325363,가우디오랩(주),3.9,13,3.9,3.9,3.6,4.0,3.8,3.6,77%,77%,54%,가우디오랩
316005,(주)알씨디에이치,2.8,4,2.8,3.0,3.3,2.8,2.8,2.5,25%,25%,50%,알씨디에이치
414474,(주)에스비일렉트릭,2.7,3,2.7,3.0,4.0,3.3,2.3,2.3,67%,0%,0%,에스비일렉트릭
400157,(주)대천농기계,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,대천농기계
352347,(주)퍼플랩스헬스케어,2.1,197,2.1,2.3,1.9,2.1,2.2,1.9,17%,29%,16%,퍼플랩스헬스케어
324303,(주)위드플래닛,2.0,3,2.0,2.3,3.7,2.3,1.7,1.3,0%,0%,0%,위드플래닛
145435,한국에어로소프트(주),5.0,2,5.0,2.0,3.0,3.0,2.0,3.0,50%,50%,50%,한국에어로소프트
209091,신창코넥타(주),2.7,38,2.7,2.4,2.1,2.6,2.3,1.8,13%,19%,3%,신창
242977,오륙개발(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,오륙개발
131812,거평건설(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,거평건설
20686,에스제이엠프리웰,2.0,5,2.0,2.0,2.8,2.4,2.2,1.6,40%,40%,0%,프리웰
324725,서원이엔지,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,서원이엔지
64101,엔티피아(주),1.6,8,1.6,2.1,2.8,3.0,2.1,1.6,0%,0%,0%,엔티피
227825,새벽건설(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,새벽건설
207935,동화텔레콤(주),2.5,2,2.5,1.5,2.5,2.0,1.5,1.0,0%,0%,0%,동화텔레콤
211919,금광엠앤디(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,금광엠앤디
321044,(주)포스틱,2.3,12,2.3,2.3,2.6,2.0,2.3,1.9,17%,17%,0%,포스틱
